TableID,Frequency,Year,Quarter,Industry,IndustrYDescription,DataValue,NoteRef,SourceTableID
5,A,1997,1997,482,Rail transportation,0.2,5,5
5,A,1997,1997,483,Water transportation,0.1,5,5
5,A,1997,1997,484,Truck transportation,0.9,5,5
5,A,1997,1997,485,Transit and ground passenger transportation,0.2,5,5
5,A,1997,1997,486,Pipeline transportation,0.1,5,5
5,A,1997,1997,487OS,Other transportation and support activities,0.7,5,5
5,A,1997,1997,48TW,Transportation and warehousing,3.0,5,5
5,A,1997,1997,493,Warehousing and storage,0.2,5,5
5,A,1997,1997,4A0,Other retail,3.4,5,5
5,A,1997,1997,51,Information,4.6,5,5
5,A,1997,1997,511,"Publishing industries, except internet (includes software)",1.1,5,5
5,A,1997,1997,512,Motion picture and sound recording industries,0.5,5,5
5,A,1997,1997,513,Broadcasting and telecommunications,2.6,5,5
5,A,1997,1997,514,"Data processing, internet publishing, and other information services",0.4,5,5
5,A,1997,1997,52,Finance and insurance,6.7,5,5
5,A,1997,1997,521CI,"Federal Reserve banks, credit intermediation, and related activities",2.7,5,5
5,A,1997,1997,523,"Securities, commodity contracts, and investments",1.4,5,5
5,A,1997,1997,524,Insurance carriers and related activities,2.5,5,5
5,A,1997,1997,525,"Funds, trusts, and other financial vehicles",0.1,5,5
5,A,1997,1997,53,Real estate and rental and leasing,12.1,5,5
5,A,1997,1997,531,Real estate,10.8,5,5
5,A,1997,1997,532RL,Rental and leasing services and lessors of intangible assets,1.2,5,5
5,A,1997,1997,54,"Professional, scientific, and technical services",5.8,5,5
5,A,1997,1997,5411,Legal services,1.2,5,5
5,A,1997,1997,5412OP,"Miscellaneous professional, scientific, and technical services",3.7,5,5
5,A,1997,1997,5415,Computer systems design and related services,0.9,5,5
5,A,1997,1997,55,Management of companies and enterprises,1.5,5,5
5,A,1997,1997,56,Administrative and waste management services,2.5,5,5
5,A,1997,1997,561,Administrative and support services,2.3,5,5
5,A,1997,1997,562,Waste management and remediation services,0.3,5,5
5,A,1997,1997,6,"Educational services, health care, and social assistance",6.9,5,5
5,A,1997,1997,61,Educational services,0.9,5,5
5,A,1997,1997,62,Health care and social assistance,6.0,5,5
5,A,1997,1997,621,Ambulatory health care services,2.9,5,5
5,A,1997,1997,622,Hospitals,1.9,5,5
5,A,1997,1997,623,Nursing and residential care facilities,0.7,5,5
5,A,1997,1997,624,Social assistance,0.5,5,5
5,A,1997,1997,7,"Arts, entertainment, recreation, accommodation, and food services",3.5,5,5
5,A,1997,1997,71,"Arts, entertainment, and recreation",0.9,5,5
5,A,1997,1997,711AS,"Performing arts, spectator sports, museums, and related activities",0.4,5,5
5,A,1997,1997,713,"Amusements, gambling, and recreation industries",0.5,5,5
5,A,1997,1997,72,Accommodation and food services,2.6,5,5
5,A,1997,1997,721,Accommodation,0.8,5,5
5,A,1997,1997,722,Food services and drinking places,1.8,5,5
5,A,1997,1997,81,"Other services, except government",2.7,5,5
5,A,1997,1997,FIRE,"Finance, insurance, real estate, rental, and leasing",18.8,5,5
5,A,1997,1997,G,Government,13.4,5,5
5,A,1997,1997,GDP,Gross domestic product,100.0,5,5
5,A,1997,1997,GF,Federal,4.6,5,5
5,A,1997,1997,GFE,Government enterprises,0.7,5,5
5,A,1997,1997,GFG,General government,3.9,5,5
5,A,1997,1997,GFGD,National defense,2.5,5,5
5,A,1997,1997,GFGN,Nondefense,1.4,5,5
5,A,1997,1997,GSL,State and local,8.8,5,5
5,A,1997,1997,GSLE,Government enterprises,0.8,5,5
5,A,1997,1997,GSLG,General government,8.0,5,5
5,A,1997,1997,HS,Housing,9.0,5,5
5,A,1997,1997,ICT,Information-communications-technology-producing industries<sup>3</sup>,5.9,5;5.3.A,5
5,A,1997,1997,ORE,Other real estate,1.9,5,5
5,A,1997,1997,PGOOD,Private goods-producing industries<sup>1</sup>,22.5,5;5.1.A,5
5,A,1997,1997,PROF,Professional and business services,9.8,5,5
5,A,1997,1997,PSERV,Private services-producing industries<sup>2</sup>,64.2,5;5.2.A,5
5,A,1997,1997,PVT,Private industries,86.6,5,5
5,A,1998,1998,11,"Agriculture, forestry, fishing, and hunting",1.1,5,5
5,A,1998,1998,111CA,Farms,0.9,5,5
5,A,1998,1998,113FF,"Forestry, fishing, and related activities",0.2,5,5
5,A,1998,1998,21,Mining,0.9,5,5
5,A,1998,1998,211,Oil and gas extraction,0.4,5,5
5,A,1998,1998,212,"Mining, except oil and gas",0.3,5,5
5,A,1998,1998,213,Support activities for mining,0.2,5,5
5,A,1998,1998,22,Utilities,1.8,5,5
5,A,1998,1998,23,Construction,4.2,5,5
5,A,1998,1998,311FT,Food and beverage and tobacco products,1.5,5,5
5,A,1998,1998,313TT,Textile mills and textile product mills,0.3,5,5
5,A,1998,1998,315AL,Apparel and leather and allied products,0.3,5,5
5,A,1998,1998,31G,Manufacturing,15.8,5,5
5,A,1998,1998,31ND,Nondurable goods,6.4,5,5
5,A,1998,1998,321,Wood products,0.3,5,5
5,A,1998,1998,322,Paper products,0.6,5,5
5,A,1998,1998,323,Printing and related support activities,0.4,5,5
5,A,1998,1998,324,Petroleum and coal products,0.6,5,5
5,A,1998,1998,325,Chemical products,2.0,5,5
5,A,1998,1998,326,Plastics and rubber products,0.7,5,5
5,A,1998,1998,327,Nonmetallic mineral products,0.5,5,5
5,A,1998,1998,331,Primary metals,0.5,5,5
5,A,1998,1998,332,Fabricated metal products,1.2,5,5
5,A,1998,1998,333,Machinery,1.3,5,5
5,A,1998,1998,334,Computer and electronic products,2.1,5,5
5,A,1998,1998,335,"Electrical equipment, appliances, and components",0.4,5,5
5,A,1998,1998,3361MV,"Motor vehicles, bodies and trailers, and parts",1.4,5,5
5,A,1998,1998,3364OT,Other transportation equipment,0.7,5,5
5,A,1998,1998,337,Furniture and related products,0.3,5,5
5,A,1998,1998,339,Miscellaneous manufacturing,0.6,5,5
5,A,1998,1998,33DG,Durable goods,9.4,5,5
5,A,1998,1998,42,Wholesale trade,6.2,5,5
5,A,1998,1998,441,Motor vehicle and parts dealers,1.4,5,5
5,A,1998,1998,445,Food and beverage stores,1.1,5,5
5,A,1998,1998,44RT,Retail trade,6.9,5,5
5,A,1998,1998,452,General merchandise stores,1.0,5,5
5,A,1998,1998,481,Air transportation,0.6,5,5
5,A,1998,1998,482,Rail transportation,0.2,5,5
5,A,1998,1998,483,Water transportation,0.1,5,5
5,A,1998,1998,484,Truck transportation,0.9,5,5
5,A,1998,1998,485,Transit and ground passenger transportation,0.2,5,5
5,A,1998,1998,486,Pipeline transportation,0.1,5,5
5,A,1998,1998,487OS,Other transportation and support activities,0.7,5,5
5,A,1998,1998,48TW,Transportation and warehousing,3.1,5,5
5,A,1998,1998,493,Warehousing and storage,0.3,5,5
5,A,1998,1998,4A0,Other retail,3.5,5,5
5,A,1998,1998,51,Information,4.8,5,5
5,A,1998,1998,511,"Publishing industries, except internet (includes software)",1.2,5,5
5,A,1998,1998,512,Motion picture and sound recording industries,0.5,5,5
5,A,1998,1998,513,Broadcasting and telecommunications,2.7,5,5
5,A,1998,1998,514,"Data processing, internet publishing, and other information services",0.4,5,5
5,A,1998,1998,52,Finance and insurance,7.0,5,5
5,A,1998,1998,521CI,"Federal Reserve banks, credit intermediation, and related activities",2.9,5,5
5,A,1998,1998,523,"Securities, commodity contracts, and investments",1.3,5,5
5,A,1998,1998,524,Insurance carriers and related activities,2.6,5,5
5,A,1998,1998,525,"Funds, trusts, and other financial vehicles",0.1,5,5
5,A,1998,1998,53,Real estate and rental and leasing,11.8,5,5
5,A,1998,1998,531,Real estate,10.6,5,5
5,A,1998,1998,532RL,Rental and leasing services and lessors of intangible assets,1.2,5,5
5,A,1998,1998,54,"Professional, scientific, and technical services",6.0,5,5
5,A,1998,1998,5411,Legal services,1.3,5,5
5,A,1998,1998,5412OP,"Miscellaneous professional, scientific, and technical services",3.8,5,5
5,A,1998,1998,5415,Computer systems design and related services,1.0,5,5
5,A,1998,1998,55,Management of companies and enterprises,1.5,5,5
5,A,1998,1998,56,Administrative and waste management services,2.6,5,5
5,A,1998,1998,561,Administrative and support services,2.3,5,5
5,A,1998,1998,562,Waste management and remediation services,0.3,5,5
5,A,1998,1998,6,"Educational services, health care, and social assistance",6.8,5,5
5,A,1998,1998,61,Educational services,0.9,5,5
5,A,1998,1998,62,Health care and social assistance,5.9,5,5
5,A,1998,1998,621,Ambulatory health care services,2.9,5,5
5,A,1998,1998,622,Hospitals,1.9,5,5
5,A,1998,1998,623,Nursing and residential care facilities,0.7,5,5
5,A,1998,1998,624,Social assistance,0.5,5,5
5,A,1998,1998,7,"Arts, entertainment, recreation, accommodation, and food services",3.6,5,5
5,A,1998,1998,71,"Arts, entertainment, and recreation",0.9,5,5
5,A,1998,1998,711AS,"Performing arts, spectator sports, museums, and related activities",0.4,5,5
5,A,1998,1998,713,"Amusements, gambling, and recreation industries",0.5,5,5
5,A,1998,1998,72,Accommodation and food services,2.6,5,5
5,A,1998,1998,721,Accommodation,0.8,5,5
5,A,1998,1998,722,Food services and drinking places,1.8,5,5
5,A,1998,1998,81,"Other services, except government",2.7,5,5
5,A,1998,1998,FIRE,"Finance, insurance, real estate, rental, and leasing",18.9,5,5
5,A,1998,1998,G,Government,13.1,5,5
5,A,1998,1998,GDP,Gross domestic product,100.0,5,5
5,A,1998,1998,GF,Federal,4.4,5,5
5,A,1998,1998,GFE,Government enterprises,0.7,5,5
5,A,1998,1998,GFG,General government,3.7,5,5
5,A,1998,1998,GFGD,National defense,2.3,5,5
5,A,1998,1998,GFGN,Nondefense,1.4,5,5
5,A,1998,1998,GSL,State and local,8.8,5,5
5,A,1998,1998,GSLE,Government enterprises,0.8,5,5
5,A,1998,1998,GSLG,General government,8.0,5,5
5,A,1998,1998,HS,Housing,9.0,5,5
5,A,1998,1998,ICT,Information-communications-technology-producing industries<sup>3</sup>,6.0,5;5.3.A,5
5,A,1998,1998,ORE,Other real estate,1.6,5,5
5,A,1998,1998,PGOOD,Private goods-producing industries<sup>1</sup>,22.0,5;5.1.A,5
5,A,1998,1998,PROF,Professional and business services,10.1,5,5
5,A,1998,1998,PSERV,Private services-producing industries<sup>2</sup>,64.9,5;5.2.A,5
5,A,1998,1998,PVT,Private industries,86.9,5,5
5,A,1999,1999,11,"Agriculture, forestry, fishing, and hunting",1.0,5,5
5,A,1999,1999,111CA,Farms,0.7,5,5
5,A,1999,1999,113FF,"Forestry, fishing, and related activities",0.2,5,5
5,A,1999,1999,21,Mining,0.9,5,5
5,A,1999,1999,211,Oil and gas extraction,0.5,5,5
5,A,1999,1999,212,"Mining, except oil and gas",0.3,5,5
5,A,1999,1999,213,Support activities for mining,0.1,5,5
5,A,1999,1999,22,Utilities,1.9,5,5
5,A,1999,1999,23,Construction,4.3,5,5
5,A,1999,1999,311FT,Food and beverage and tobacco products,1.7,5,5
5,A,1999,1999,313TT,Textile mills and textile product mills,0.3,5,5
5,A,1999,1999,315AL,Apparel and leather and allied products,0.2,5,5
5,A,1999,1999,31G,Manufacturing,15.5,5,5
5,A,1999,1999,31ND,Nondurable goods,6.4,5,5
5,A,1999,1999,321,Wood products,0.3,5,5
5,A,1999,1999,322,Paper products,0.6,5,5
5,A,1999,1999,323,Printing and related support activities,0.4,5,5
5,A,1999,1999,324,Petroleum and coal products,0.5,5,5
5,A,1999,1999,325,Chemical products,2.0,5,5
5,A,1999,1999,326,Plastics and rubber products,0.7,5,5
5,A,1999,1999,327,Nonmetallic mineral products,0.4,5,5
5,A,1999,1999,331,Primary metals,0.5,5,5
5,A,1999,1999,332,Fabricated metal products,1.2,5,5
5,A,1999,1999,333,Machinery,1.2,5,5
5,A,1999,1999,334,Computer and electronic products,1.9,5,5
5,A,1999,1999,335,"Electrical equipment, appliances, and components",0.5,5,5
5,A,1999,1999,3361MV,"Motor vehicles, bodies and trailers, and parts",1.4,5,5
5,A,1999,1999,3364OT,Other transportation equipment,0.8,5,5
5,A,1999,1999,337,Furniture and related products,0.3,5,5
5,A,1999,1999,339,Miscellaneous manufacturing,0.6,5,5
5,A,1999,1999,33DG,Durable goods,9.1,5,5
5,A,1999,1999,42,Wholesale trade,6.1,5,5
5,A,1999,1999,441,Motor vehicle and parts dealers,1.4,5,5
5,A,1999,1999,445,Food and beverage stores,1.0,5,5
5,A,1999,1999,44RT,Retail trade,6.8,5,5
5,A,1999,1999,452,General merchandise stores,0.9,5,5
5,A,1999,1999,481,Air transportation,0.6,5,5
5,A,1999,1999,482,Rail transportation,0.2,5,5
5,A,1999,1999,483,Water transportation,0.1,5,5
5,A,1999,1999,484,Truck transportation,1.0,5,5
5,A,1999,1999,485,Transit and ground passenger transportation,0.2,5,5
5,A,1999,1999,486,Pipeline transportation,0.1,5,5
5,A,1999,1999,487OS,Other transportation and support activities,0.6,5,5
5,A,1999,1999,48TW,Transportation and warehousing,3.0,5,5
5,A,1999,1999,493,Warehousing and storage,0.3,5,5
5,A,1999,1999,4A0,Other retail,3.4,5,5
5,A,1999,1999,51,Information,5.0,5,5
5,A,1999,1999,511,"Publishing industries, except internet (includes software)",1.4,5,5
5,A,1999,1999,512,Motion picture and sound recording industries,0.6,5,5
5,A,1999,1999,513,Broadcasting and telecommunications,2.7,5,5
5,A,1999,1999,514,"Data processing, internet publishing, and other information services",0.3,5,5
5,A,1999,1999,52,Finance and insurance,7.0,5,5
5,A,1999,1999,521CI,"Federal Reserve banks, credit intermediation, and related activities",3.1,5,5
5,A,1999,1999,523,"Securities, commodity contracts, and investments",1.3,5,5
5,A,1999,1999,524,Insurance carriers and related activities,2.4,5,5
5,A,1999,1999,525,"Funds, trusts, and other financial vehicles",0.2,5,5
5,A,1999,1999,53,Real estate and rental and leasing,12.1,5,5
5,A,1999,1999,531,Real estate,10.7,5,5
5,A,1999,1999,532RL,Rental and leasing services and lessors of intangible assets,1.3,5,5
5,A,1999,1999,54,"Professional, scientific, and technical services",6.2,5,5
5,A,1999,1999,5411,Legal services,1.3,5,5
5,A,1999,1999,5412OP,"Miscellaneous professional, scientific, and technical services",3.9,5,5
5,A,1999,1999,5415,Computer systems design and related services,1.1,5,5
5,A,1999,1999,55,Management of companies and enterprises,1.5,5,5
5,A,1999,1999,56,Administrative and waste management services,2.6,5,5
5,A,1999,1999,561,Administrative and support services,2.4,5,5
5,A,1999,1999,562,Waste management and remediation services,0.3,5,5
5,A,1999,1999,6,"Educational services, health care, and social assistance",6.8,5,5
5,A,1999,1999,61,Educational services,0.9,5,5
5,A,1999,1999,62,Health care and social assistance,5.9,5,5
5,A,1999,1999,621,Ambulatory health care services,2.8,5,5
5,A,1999,1999,622,Hospitals,1.9,5,5
5,A,1999,1999,623,Nursing and residential care facilities,0.7,5,5
5,A,1999,1999,624,Social assistance,0.5,5,5
5,A,1999,1999,7,"Arts, entertainment, recreation, accommodation, and food services",3.7,5,5
5,A,1999,1999,71,"Arts, entertainment, and recreation",0.9,5,5
5,A,1999,1999,711AS,"Performing arts, spectator sports, museums, and related activities",0.5,5,5
5,A,1999,1999,713,"Amusements, gambling, and recreation industries",0.5,5,5
5,A,1999,1999,72,Accommodation and food services,2.7,5,5
5,A,1999,1999,721,Accommodation,0.9,5,5
5,A,1999,1999,722,Food services and drinking places,1.9,5,5
5,A,1999,1999,81,"Other services, except government",2.7,5,5
5,A,1999,1999,FIRE,"Finance, insurance, real estate, rental, and leasing",19.1,5,5
5,A,1999,1999,G,Government,13.0,5,5
5,A,1999,1999,GDP,Gross domestic product,100.0,5,5
5,A,1999,1999,GF,Federal,4.2,5,5
5,A,1999,1999,GFE,Government enterprises,0.6,5,5
5,A,1999,1999,GFG,General government,3.6,5,5
5,A,1999,1999,GFGD,National defense,2.2,5,5
5,A,1999,1999,GFGN,Nondefense,1.4,5,5
5,A,1999,1999,GSL,State and local,8.8,5,5
5,A,1999,1999,GSLE,Government enterprises,0.8,5,5
5,A,1999,1999,GSLG,General government,8.0,5,5
5,A,1999,1999,HS,Housing,9.0,5,5
5,A,1999,1999,ICT,Information-communications-technology-producing industries<sup>3</sup>,6.0,5;5.3.A,5
5,A,1999,1999,ORE,Other real estate,1.7,5,5
5,A,1999,1999,PGOOD,Private goods-producing industries<sup>1</sup>,21.7,5;5.1.A,5
5,A,1999,1999,PROF,Professional and business services,10.4,5,5
5,A,1999,1999,PSERV,Private services-producing industries<sup>2</sup>,65.3,5;5.2.A,5
5,A,1999,1999,PVT,Private industries,87.0,5,5
5,A,2000,2000,11,"Agriculture, forestry, fishing, and hunting",1.0,5,5
5,A,2000,2000,111CA,Farms,0.7,5,5
5,A,2000,2000,113FF,"Forestry, fishing, and related activities",0.2,5,5
5,A,2000,2000,21,Mining,1.1,5,5
5,A,2000,2000,211,Oil and gas extraction,0.7,5,5
5,A,2000,2000,212,"Mining, except oil and gas",0.3,5,5
5,A,2000,2000,213,Support activities for mining,0.1,5,5
5,A,2000,2000,22,Utilities,1.8,5,5
5,A,2000,2000,23,Construction,4.5,5,5
5,A,2000,2000,311FT,Food and beverage and tobacco products,1.6,5,5
5,A,2000,2000,313TT,Textile mills and textile product mills,0.3,5,5
5,A,2000,2000,315AL,Apparel and leather and allied products,0.2,5,5
5,A,2000,2000,31G,Manufacturing,15.1,5,5
5,A,2000,2000,31ND,Nondurable goods,6.1,5,5
5,A,2000,2000,321,Wood products,0.3,5,5
5,A,2000,2000,322,Paper products,0.6,5,5
5,A,2000,2000,323,Printing and related support activities,0.4,5,5
5,A,2000,2000,324,Petroleum and coal products,0.5,5,5
5,A,2000,2000,325,Chemical products,1.8,5,5
5,A,2000,2000,326,Plastics and rubber products,0.6,5,5
5,A,2000,2000,327,Nonmetallic mineral products,0.4,5,5
5,A,2000,2000,331,Primary metals,0.5,5,5
5,A,2000,2000,332,Fabricated metal products,1.2,5,5
5,A,2000,2000,333,Machinery,1.1,5,5
5,A,2000,2000,334,Computer and electronic products,2.2,5,5
5,A,2000,2000,335,"Electrical equipment, appliances, and components",0.4,5,5
5,A,2000,2000,3361MV,"Motor vehicles, bodies and trailers, and parts",1.3,5,5
5,A,2000,2000,3364OT,Other transportation equipment,0.7,5,5
5,A,2000,2000,337,Furniture and related products,0.3,5,5
5,A,2000,2000,339,Miscellaneous manufacturing,0.6,5,5
5,A,2000,2000,33DG,Durable goods,9.0,5,5
5,A,2000,2000,42,Wholesale trade,6.1,5,5
5,A,2000,2000,441,Motor vehicle and parts dealers,1.4,5,5
5,A,2000,2000,445,Food and beverage stores,1.0,5,5
5,A,2000,2000,44RT,Retail trade,6.7,5,5
5,A,2000,2000,452,General merchandise stores,0.9,5,5
5,A,2000,2000,481,Air transportation,0.6,5,5
5,A,2000,2000,482,Rail transportation,0.2,5,5
5,A,2000,2000,483,Water transportation,0.1,5,5
5,A,2000,2000,484,Truck transportation,1.0,5,5
5,A,2000,2000,485,Transit and ground passenger transportation,0.2,5,5
5,A,2000,2000,486,Pipeline transportation,0.1,5,5
5,A,2000,2000,487OS,Other transportation and support activities,0.6,5,5
5,A,2000,2000,48TW,Transportation and warehousing,3.0,5,5
5,A,2000,2000,493,Warehousing and storage,0.3,5,5
5,A,2000,2000,4A0,Other retail,3.4,5,5
5,A,2000,2000,51,Information,4.6,5,5
5,A,2000,2000,511,"Publishing industries, except internet (includes software)",1.1,5,5
5,A,2000,2000,512,Motion picture and sound recording industries,0.5,5,5
5,A,2000,2000,513,Broadcasting and telecommunications,2.7,5,5
5,A,2000,2000,514,"Data processing, internet publishing, and other information services",0.3,5,5
5,A,2000,2000,52,Finance and insurance,7.3,5,5
5,A,2000,2000,521CI,"Federal Reserve banks, credit intermediation, and related activities",3.1,5,5
5,A,2000,2000,523,"Securities, commodity contracts, and investments",1.3,5,5
5,A,2000,2000,524,Insurance carriers and related activities,2.7,5,5
5,A,2000,2000,525,"Funds, trusts, and other financial vehicles",0.1,5,5
5,A,2000,2000,53,Real estate and rental and leasing,12.0,5,5
5,A,2000,2000,531,Real estate,10.7,5,5
5,A,2000,2000,532RL,Rental and leasing services and lessors of intangible assets,1.3,5,5
5,A,2000,2000,54,"Professional, scientific, and technical services",6.4,5,5
5,A,2000,2000,5411,Legal services,1.3,5,5
5,A,2000,2000,5412OP,"Miscellaneous professional, scientific, and technical services",4.0,5,5
5,A,2000,2000,5415,Computer systems design and related services,1.1,5,5
5,A,2000,2000,55,Management of companies and enterprises,1.7,5,5
5,A,2000,2000,56,Administrative and waste management services,2.8,5,5
5,A,2000,2000,561,Administrative and support services,2.5,5,5
5,A,2000,2000,562,Waste management and remediation services,0.3,5,5
5,A,2000,2000,6,"Educational services, health care, and social assistance",6.8,5,5
5,A,2000,2000,61,Educational services,0.9,5,5
5,A,2000,2000,62,Health care and social assistance,5.9,5,5
5,A,2000,2000,621,Ambulatory health care services,2.8,5,5
5,A,2000,2000,622,Hospitals,1.9,5,5
5,A,2000,2000,623,Nursing and residential care facilities,0.7,5,5
5,A,2000,2000,624,Social assistance,0.5,5,5
5,A,2000,2000,7,"Arts, entertainment, recreation, accommodation, and food services",3.8,5,5
5,A,2000,2000,71,"Arts, entertainment, and recreation",1.0,5,5
5,A,2000,2000,711AS,"Performing arts, spectator sports, museums, and related activities",0.5,5,5
5,A,2000,2000,713,"Amusements, gambling, and recreation industries",0.5,5,5
5,A,2000,2000,72,Accommodation and food services,2.8,5,5
5,A,2000,2000,721,Accommodation,0.9,5,5
5,A,2000,2000,722,Food services and drinking places,1.9,5,5
5,A,2000,2000,81,"Other services, except government",2.7,5,5
5,A,2000,2000,FIRE,"Finance, insurance, real estate, rental, and leasing",19.3,5,5
5,A,2000,2000,G,Government,12.9,5,5
5,A,2000,2000,GDP,Gross domestic product,100.0,5,5
5,A,2000,2000,GF,Federal,4.1,5,5
5,A,2000,2000,GFE,Government enterprises,0.6,5,5
5,A,2000,2000,GFG,General government,3.5,5,5
5,A,2000,2000,GFGD,National defense,2.1,5,5
5,A,2000,2000,GFGN,Nondefense,1.4,5,5
5,A,2000,2000,GSL,State and local,8.8,5,5
5,A,2000,2000,GSLE,Government enterprises,0.7,5,5
5,A,2000,2000,GSLG,General government,8.0,5,5
5,A,2000,2000,HS,Housing,9.0,5,5
5,A,2000,2000,ICT,Information-communications-technology-producing industries<sup>3</sup>,6.2,5;5.3.A,5
5,A,2000,2000,ORE,Other real estate,1.7,5,5
5,A,2000,2000,PGOOD,Private goods-producing industries<sup>1</sup>,21.7,5;5.1.A,5
5,A,2000,2000,PROF,Professional and business services,10.8,5,5
5,A,2000,2000,PSERV,Private services-producing industries<sup>2</sup>,65.4,5;5.2.A,5
5,A,2000,2000,PVT,Private industries,87.1,5,5
5,A,2001,2001,11,"Agriculture, forestry, fishing, and hunting",1.0,5,5
5,A,2001,2001,111CA,Farms,0.7,5,5
5,A,2001,2001,113FF,"Forestry, fishing, and related activities",0.2,5,5
5,A,2001,2001,21,Mining,1.2,5,5
5,A,2001,2001,211,Oil and gas extraction,0.7,5,5
5,A,2001,2001,212,"Mining, except oil and gas",0.3,5,5
5,A,2001,2001,213,Support activities for mining,0.2,5,5
5,A,2001,2001,22,Utilities,1.7,5,5
5,A,2001,2001,23,Construction,4.6,5,5
5,A,2001,2001,311FT,Food and beverage and tobacco products,1.6,5,5
5,A,2001,2001,313TT,Textile mills and textile product mills,0.2,5,5
5,A,2001,2001,315AL,Apparel and leather and allied products,0.2,5,5
5,A,2001,2001,31G,Manufacturing,13.9,5,5
5,A,2001,2001,31ND,Nondurable goods,6.1,5,5
5,A,2001,2001,321,Wood products,0.3,5,5
5,A,2001,2001,322,Paper products,0.5,5,5
5,A,2001,2001,323,Printing and related support activities,0.4,5,5
5,A,2001,2001,324,Petroleum and coal products,0.6,5,5
5,A,2001,2001,325,Chemical products,1.8,5,5
5,A,2001,2001,326,Plastics and rubber products,0.6,5,5
5,A,2001,2001,327,Nonmetallic mineral products,0.4,5,5
5,A,2001,2001,331,Primary metals,0.4,5,5
5,A,2001,2001,332,Fabricated metal products,1.0,5,5
5,A,2001,2001,333,Machinery,1.0,5,5
5,A,2001,2001,334,Computer and electronic products,1.6,5,5
5,A,2001,2001,335,"Electrical equipment, appliances, and components",0.4,5,5
5,A,2001,2001,3361MV,"Motor vehicles, bodies and trailers, and parts",1.2,5,5
5,A,2001,2001,3364OT,Other transportation equipment,0.7,5,5
5,A,2001,2001,337,Furniture and related products,0.3,5,5
5,A,2001,2001,339,Miscellaneous manufacturing,0.5,5,5
5,A,2001,2001,33DG,Durable goods,7.9,5,5
5,A,2001,2001,42,Wholesale trade,5.8,5,5
5,A,2001,2001,441,Motor vehicle and parts dealers,1.3,5,5
5,A,2001,2001,445,Food and beverage stores,1.0,5,5
5,A,2001,2001,44RT,Retail trade,6.7,5,5
5,A,2001,2001,452,General merchandise stores,0.9,5,5
5,A,2001,2001,481,Air transportation,0.5,5,5
5,A,2001,2001,482,Rail transportation,0.2,5,5
5,A,2001,2001,483,Water transportation,0.1,5,5
5,A,2001,2001,484,Truck transportation,0.9,5,5
5,A,2001,2001,485,Transit and ground passenger transportation,0.2,5,5
5,A,2001,2001,486,Pipeline transportation,0.2,5,5
5,A,2001,2001,487OS,Other transportation and support activities,0.7,5,5
5,A,2001,2001,48TW,Transportation and warehousing,2.9,5,5
5,A,2001,2001,493,Warehousing and storage,0.2,5,5
5,A,2001,2001,4A0,Other retail,3.5,5,5
5,A,2001,2001,51,Information,4.7,5,5
5,A,2001,2001,511,"Publishing industries, except internet (includes software)",1.1,5,5
5,A,2001,2001,512,Motion picture and sound recording industries,0.6,5,5
